id,original_text,appeal_text,lemmatized,category,is_escalated,sentiment,urgency
321,"Обращался多次, но проблему по оплата и финансы так и не решили.","Обращался多次, но проблему по оплата и финансы так и не решили.",обращался多次 но проблема по оплата и финансы так и не решить,Оплата и финансы,True,negative,high
322,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
323,Уже третий раз не могу решить вопрос по расписание. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по расписание. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по расписание просить разобраться на высокий уровень,Расписание,True,negative,high
324,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
325,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
326,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
327,"Обращался多次, но проблему по общежитие и проживание так и не решили.","Обращался多次, но проблему по общежитие и проживание так и не решили.",обращался多次 но проблема по общежитие и проживание так и не решить,Общежитие и проживание,True,negative,high
328,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
329,Ситуация критичная. По административные вопросы ничего не решается уже долгое время.,Ситуация критичная. По административные вопросы ничего не решается уже долгое время.,ситуация критичный по административный вопрос ничто не решаться уже долгий время,Административные вопросы,True,negative,high
330,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
331,Ситуация критичная. По технические проблемы ничего не решается уже долгое время.,Ситуация критичная. По технические проблемы ничего не решается уже долгое время.,ситуация критичный по технический проблема ничто не решаться уже долгий время,Технические проблемы,True,negative,high
332,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
333,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
334,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
335,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
336,Ситуация критичная. По преподаватели и качество обучения ничего не решается уже долгое время.,Ситуация критичная. По преподаватели и качество обучения ничего не решается уже долгое время.,ситуация критичный по преподаватель и качество обучение ничто не решаться уже долгий время,Преподаватели и качество обучения,True,negative,high
337,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
338,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
339,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
340,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
341,"Обращался多次, но проблему по технические проблемы так и не решили.","Обращался多次, но проблему по технические проблемы так и не решили.",обращался多次 но проблема по технический проблема так и не решить,Технические проблемы,True,negative,high
342,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
343,"Обращался多次, но проблему по административные вопросы так и не решили.","Обращался多次, но проблему по административные вопросы так и не решили.",обращался多次 но проблема по административный вопрос так и не решить,Административные вопросы,True,negative,high
344,Ситуация критичная. По оплата и финансы ничего не решается уже долгое время.,Ситуация критичная. По оплата и финансы ничего не решается уже долгое время.,ситуация критичный по оплата и финансы ничто не решаться уже долгий время,Оплата и финансы,True,negative,high
345,Уже третий раз не могу решить вопрос по технические проблемы. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по технические проблемы. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по технический проблема просить разобраться на высокий уровень,Технические проблемы,True,negative,high
346,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
347,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
348,Уже третий раз не могу решить вопрос по документы и справки. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по документы и справки. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по документ и справка просить разобраться на высокий уровень,Документы и справки,True,negative,high
349,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
350,Это недопустимо! Требую реакции руководства по вопросу оплата и финансы.,Это недопустимо! Требую реакции руководства по вопросу оплата и финансы.,это недопустимый требовать реакция руководство по вопрос оплата и финансы,Оплата и финансы,True,negative,high
351,"Обращался多次, но проблему по другое так и не решили.","Обращался多次, но проблему по другое так и не решили.",обращался多次 но проблема по другой так и не решить,Другое,True,negative,high
352,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
353,Уже третий раз не могу решить вопрос по поступление и приёмная комиссия. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по поступление и приёмная комиссия. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по поступление и приемный комиссия просить разобраться на высокий уровень,Поступление и приёмная комиссия,True,negative,high
354,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
355,Ситуация критичная. По преподаватели и качество обучения ничего не решается уже долгое время.,Ситуация критичная. По преподаватели и качество обучения ничего не решается уже долгое время.,ситуация критичный по преподаватель и качество обучение ничто не решаться уже долгий время,Преподаватели и качество обучения,True,negative,high
356,Уже третий раз не могу решить вопрос по документы и справки. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по документы и справки. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по документ и справка просить разобраться на высокий уровень,Документы и справки,True,negative,high
357,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
358,Ситуация критичная. По технические проблемы ничего не решается уже долгое время.,Ситуация критичная. По технические проблемы ничего не решается уже долгое время.,ситуация критичный по технический проблема ничто не решаться уже долгий время,Технические проблемы,True,negative,high
359,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
360,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
361,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
362,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
363,Уже третий раз не могу решить вопрос по расписание. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по расписание. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по расписание просить разобраться на высокий уровень,Расписание,True,negative,high
364,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
365,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
366,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
367,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
368,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
369,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
370,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
371,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
372,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
373,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
374,Ситуация критичная. По расписание ничего не решается уже долгое время.,Ситуация критичная. По расписание ничего не решается уже долгое время.,ситуация критичный по расписание ничто не решаться уже долгий время,Расписание,True,negative,high
375,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
376,Уже третий раз не могу решить вопрос по расписание. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по расписание. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по расписание просить разобраться на высокий уровень,Расписание,True,negative,high
377,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
378,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
379,"Обращался多次, но проблему по административные вопросы так и не решили.","Обращался多次, но проблему по административные вопросы так и не решили.",обращался多次 но проблема по административный вопрос так и не решить,Административные вопросы,True,negative,high
380,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
381,"Обращался多次, но проблему по оплата и финансы так и не решили.","Обращался多次, но проблему по оплата и финансы так и не решили.",обращался多次 но проблема по оплата и финансы так и не решить,Оплата и финансы,True,negative,high
382,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
383,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
384,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
385,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
386,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
387,Это недопустимо! Требую реакции руководства по вопросу другое.,Это недопустимо! Требую реакции руководства по вопросу другое.,это недопустимый требовать реакция руководство по вопрос другой,Другое,True,negative,high
388,"Здравствуйте, у меня вопрос по технические проблемы.","Здравствуйте, у меня вопрос по технические проблемы.",здравствовать у я вопрос по технический проблема,Технические проблемы,False,neutral,medium
389,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
390,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
391,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
392,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
393,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
394,Уже третий раз не могу решить вопрос по общежитие и проживание. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по общежитие и проживание. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по общежитие и проживание просить разобраться на высокий уровень,Общежитие и проживание,True,negative,high
395,Это недопустимо! Требую реакции руководства по вопросу преподаватели и качество обучения.,Это недопустимо! Требую реакции руководства по вопросу преподаватели и качество обучения.,это недопустимый требовать реакция руководство по вопрос преподаватель и качество обучение,Преподаватели и качество обучения,True,negative,high
396,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
397,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
398,"Обращался多次, но проблему по общежитие и проживание так и не решили.","Обращался多次, но проблему по общежитие и проживание так и не решили.",обращался多次 но проблема по общежитие и проживание так и не решить,Общежитие и проживание,True,negative,high
399,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
400,Это недопустимо! Требую реакции руководства по вопросу преподаватели и качество обучения.,Это недопустимо! Требую реакции руководства по вопросу преподаватели и качество обучения.,это недопустимый требовать реакция руководство по вопрос преподаватель и качество обучение,Преподаватели и качество обучения,True,negative,high
401,Уже третий раз не могу решить вопрос по другое. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по другое. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по другой просить разобраться на высокий уровень,Другое,True,negative,high
402,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
403,"Здравствуйте, у меня вопрос по другое.","Здравствуйте, у меня вопрос по другое.",здравствовать у я вопрос по другой,Другое,False,neutral,medium
404,Ситуация критичная. По поступление и приёмная комиссия ничего не решается уже долгое время.,Ситуация критичная. По поступление и приёмная комиссия ничего не решается уже долгое время.,ситуация критичный по поступление и приемный комиссия ничто не решаться уже долгий время,Поступление и приёмная комиссия,True,negative,high
405,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
406,Уже третий раз не могу решить вопрос по документы и справки. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по документы и справки. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по документ и справка просить разобраться на высокий уровень,Документы и справки,True,negative,high
407,Уже третий раз не могу решить вопрос по общежитие и проживание. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по общежитие и проживание. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по общежитие и проживание просить разобраться на высокий уровень,Общежитие и проживание,True,negative,high
408,Уже третий раз не могу решить вопрос по административные вопросы. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по административные вопросы. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по административный вопрос просить разобраться на высокий уровень,Административные вопросы,True,negative,high
409,Ситуация критичная. По поступление и приёмная комиссия ничего не решается уже долгое время.,Ситуация критичная. По поступление и приёмная комиссия ничего не решается уже долгое время.,ситуация критичный по поступление и приемный комиссия ничто не решаться уже долгий время,Поступление и приёмная комиссия,True,negative,high
410,"Здравствуйте, у меня вопрос по преподаватели и качество обучения.","Здравствуйте, у меня вопрос по преподаватели и качество обучения.",здравствовать у я вопрос по преподаватель и качество обучение,Преподаватели и качество обучения,False,neutral,medium
411,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
412,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
413,Уже третий раз не могу решить вопрос по поступление и приёмная комиссия. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по поступление и приёмная комиссия. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по поступление и приемный комиссия просить разобраться на высокий уровень,Поступление и приёмная комиссия,True,negative,high
414,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
415,Ситуация критичная. По расписание ничего не решается уже долгое время.,Ситуация критичная. По расписание ничего не решается уже долгое время.,ситуация критичный по расписание ничто не решаться уже долгий время,Расписание,True,negative,high
416,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
417,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
418,Ситуация критичная. По расписание ничего не решается уже долгое время.,Ситуация критичная. По расписание ничего не решается уже долгое время.,ситуация критичный по расписание ничто не решаться уже долгий время,Расписание,True,negative,high
419,"Здравствуйте, у меня вопрос по административные вопросы.","Здравствуйте, у меня вопрос по административные вопросы.",здравствовать у я вопрос по административный вопрос,Административные вопросы,False,neutral,medium
420,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
421,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
422,"Здравствуйте, у меня вопрос по расписание.","Здравствуйте, у меня вопрос по расписание.",здравствовать у я вопрос по расписание,Расписание,False,neutral,medium
423,"Здравствуйте, у меня вопрос по поступление и приёмная комиссия.","Здравствуйте, у меня вопрос по поступление и приёмная комиссия.",здравствовать у я вопрос по поступление и приемный комиссия,Поступление и приёмная комиссия,False,neutral,medium
424,Уже третий раз не могу решить вопрос по технические проблемы. Прошу разобраться на высшем уровне.,Уже третий раз не могу решить вопрос по технические проблемы. Прошу разобраться на высшем уровне.,уже третий раз не мочь решить вопрос по технический проблема просить разобраться на высокий уровень,Технические проблемы,True,negative,high
425,"Здравствуйте, у меня вопрос по общежитие и проживание.","Здравствуйте, у меня вопрос по общежитие и проживание.",здравствовать у я вопрос по общежитие и проживание,Общежитие и проживание,False,neutral,medium
426,"Здравствуйте, у меня вопрос по документы и справки.","Здравствуйте, у меня вопрос по документы и справки.",здравствовать у я вопрос по документ и справка,Документы и справки,False,neutral,medium
427,Это недопустимо! Требую реакции руководства по вопросу расписание.,Это недопустимо! Требую реакции руководства по вопросу расписание.,это недопустимый требовать реакция руководство по вопрос расписание,Расписание,True,negative,high
428,"Здравствуйте, у меня вопрос по оплата и финансы.","Здравствуйте, у меня вопрос по оплата и финансы.",здравствовать у я вопрос по оплата и финансы,Оплата и финансы,False,neutral,medium
429,"Обращался多次, но проблему по административные вопросы так и не решили.","Обращался多次, но проблему по административные вопросы так и не решили.",обращался多次 но проблема по административный вопрос так и не решить,Административные вопросы,True,negative,high
